	result$error.cv
10587	0.0787911494873179
5294	0.0771721532649757
2647	0.0760928224500809
1323	0.0760928224500809
662	0.0744738262277388
331	0.0793308148947652
165	0.0782514840798705
83	0.0895844576362655
41	0.0885051268213708
21	0.0917431192660551
10	0.103615758229897
5	0.132757690232056
3	0.161359956826767
1	0.202914193200216
