	non_symbiosis	symbiosis	MeanDecreaseAccuracy	MeanDecreaseGini
OG0000265	0.000778626	0.000877564	0.000828528	0.109568056
OG0012936	0.000481451	0.000871193	0.000651191	0.036211914
OG0012344	0.000444444	0.000863636	0.000638204	0.044401118
OG0000174	0.000605727	0.000857215	0.000695171	0.042270017
OG0010132	0.000960394	0.000854968	0.000861453	0.05365853
OG0014398	0.000121528	0.00085477	0.000449192	0.03484545
OG0015408	0.000221726	0.000847549	0.000551876	0.044353478
OG0016898	0.000506181	0.000840729	0.000689064	0.062337867
OG0000214	0.000816306	0.000837544	0.000794571	0.08190696
OG0016848	0.000581197	0.000836752	0.000696783	0.05432042
OG0010741	0.000931119	0.000835919	0.000873792	0.059664536
OG0012360	0.000234661	0.000832784	0.000508125	0.032704749
OG0016942	0.000983974	0.000818723	0.000882758	0.04545101
OG0012205	0.000934416	0.000817614	0.000862933	0.047064668
OG0010211	0.000586275	0.000811869	0.000656295	0.051619049
OG0005941	0.00118176	0.000788253	0.000968518	0.091073989
OG0016847	0.000657468	0.000785714	0.000631792	0.025081326
OG0016856	0.000763072	0.000784632	0.000766508	0.039134628
OG0010267	0.000875821	0.000766987	0.000807514	0.067552356
OG0004891	0.000382212	0.000752273	0.000559064	0.066520037
OG0014901	0.000507387	0.000741919	0.000554906	0.033698212
OG0013179	0.000780085	0.00073969	0.00072464	0.064160352
OG0014072	0.000749101	0.000739286	0.000725427	0.039469072
OG0010270	0.000272059	0.000735165	5.00E-04	0.0477517
OG0013185	0.000694372	0.000721429	0.000704304	0.044582055
OG0002830	0.000978788	0.00072028	0.000817256	0.071301568
OG0011536	0.000453425	0.000709524	0.000542121	0.042605328
OG0018009	0	0.000706349	0.000335507	0.026241418
OG0014410	0.000727679	0.00070404	0.000709805	0.04477081
OG0014411	0.001025189	0.000695788	0.000856268	0.060280955
OG0007930	0.000905952	0.000668269	0.000794112	0.058459763
OG0012944	0.000288596	0.000652244	0.000440206	0.028894598
OG0011693	0.000392322	0.000651515	0.000526039	0.036597788
OG0015362	0.000571429	0.000636905	0.000596154	0.028603359
OG0000479	0.000152381	0.000636878	0.000393042	0.022019281
OG0001659	0.001034163	0.000633838	0.0007878	0.064693315
OG0010013	0.000856244	0.000626259	0.000723751	0.061125884
OG0016924	0.00036039	0.000614773	0.000491733	0.032492936
OG0011694	0.000722527	0.000613393	0.000642029	0.037718962
OG0000057	0.001316698	0.000606319	0.00093116	0.107810337
OG0012351	0.000449301	0.000601299	0.000518065	0.036109313
OG0000793	0.00101271	0.000600253	0.000808616	0.06952128
OG0010157	0.0007721	0.000599456	0.000678122	0.027954579
OG0009827	0.00050852	0.000599084	0.000538454	0.044380129
OG0013189	0.000753685	0.000595338	0.000678269	0.03754909
OG0016843	0.000583829	0.000590909	0.000586667	0.032090317
