invertebrate	vertebrate	MeanDecreaseAccuracy	MeanDecreaseGini
OG0002489	0.00098511295436841	0.00169654244729625	0.00130471892142945	0.245403066332916
OG0002915	0.001019736667431	0.00161253107815608	0.00128991805705148	0.210710274853279
OG0004830	0.000558792481856885	0.00144376367360238	0.000941245383353468	0.109607981730668
OG0008133	0.000147727272727273	0.00141516424751719	0.000693831319722899	0.0752565232824876
OG0008967	0.000355317370690042	0.00139607843137255	0.00079034547606774	0.176473696516169
OG0006506	0.000357799621441142	0.00137546507546508	0.000829223959418569	0.123031729899387
OG0002824	0.0007344449975112	0.00136896304315659	0.00101258696242474	0.177521528146182
OG0008459	0.000354986858381807	0.00135687211601846	0.000792325555369034	0.0636798350368516
OG0007294	0.00092128693926974	0.00133749095882717	0.00107152736227312	0.178593143745999
OG0006246	0.000211832171893148	0.00130967431898971	0.000716827375744592	0.190322613528399
OG0006580	0.000919259035891106	0.00130494714014638	0.00109413580246914	0.213222100054975
OG0002771	0.00090896863965497	0.00130165859136447	0.00109113959910419	0.213412080961417
OG0008511	0.000959126984126984	0.00126431387669778	0.00114539384181789	0.162745185459404
OG0002007	0.00119625558256858	0.00124642565359477	0.00120058773146485	0.169074822417005
OG0007551	0.000286188540456833	0.0012034240430622	0.000717490569783601	0.0699378887687483
OG0005754	0.00032947687722846	0.0011812987012987	0.000694769003491808	0.131605770593533
OG0007160	0.000527144897126537	0.00117119235719425	0.000814519580386208	0.131311180153382
OG0008155	0.00124472402597403	0.00116423517119082	0.00121746891371726	0.260463630857748
OG0011207	0.000777663546984307	0.00116148895598284	0.000929628124364966	0.155131652661064
OG0005515	0.000536043360433604	0.00116045751633987	0.000803614089600896	0.112121457673979
OG0007852	0.000721780632984901	0.00113946132776836	0.000906679214065753	0.169349738198101
OG0004324	0.00120737292116551	0.00112818192278662	0.00112780773407138	0.182545299318317
OG0003748	0.000661918887528644	0.0011194423223835	0.000859967497291441	0.15203111298746
OG0008130	0.000687103594080338	0.00111771929051341	0.000863558523052194	0.118749703220704
OG0001149	0.000755720977309105	0.0011151463963964	0.000925	0.155656417112299
OG0008134	0.000758174043766783	0.00111479782970099	0.000927073414516337	0.156686487638534
OG0009114	0.000767481251856252	0.00111437312687313	0.000956457195467097	0.0847808060229664
OG0000637	0.000409809899569584	0.00111051445078354	0.000735857358381832	0.165524083351866
OG0005774	0.000676181218333922	0.00110690026347921	0.000886370411431387	0.0696844494734825
OG0002961	0.000325623122287749	0.00108170731707317	0.000678492349995594	0.0627249559660198
OG0004431	0.000785912698412698	0.00107787990196078	0.000915655577299413	0.175112044817927
OG0009347	0.000350905797101449	0.00107746710526316	0.00065922743606003	0.0699910367929152
OG0010072	0.000736446886446886	0.00106175115207373	0.000894447632244275	0.163387837313143
OG0010600	0.000258423971769836	0.00105986459340118	0.000636647432988896	0.149926930738628
OG0006708	9.36408898972711e-05	0.00105133928571429	0.000495387660052096	0.130185987552197
OG0007828	6.12407862407862e-05	0.00105133621431029	0.00051921783625731	0.10235156837894
OG0005412	0.00111262126038076	0.00104417335115865	0.00108668530682231	0.147039143197423
OG0002990	0.000673072103335261	0.0010405343486416	0.000829490136076191	0.153795129664769
OG0003230	7.31707317073171e-05	0.00102636262513904	0.000480354583642204	0.056136441625547
OG0002523	0.000217103595152376	0.00102583180708181	0.000600103133218924	0.113703072292024
OG0003944	0.00067798916769505	0.00102121744784283	0.000846185031185031	0.132768716077747
OG0000736	0.000178682769641875	0.00101751601225285	0.000582344327525942	0.0818787524602896
OG0006670	0.00035408879738148	0.000974975514712011	0.000657144184318097	0.105539370547373
OG0007996	0.000666060540069686	0.000965800865800866	0.000819741242738954	0.136650529150749
OG0009375	0.000661188811188811	0.000959948002189382	0.000785322580645161	0.119448068092519
OG0007842	0.000549574829931973	0.000959299531418959	0.000724517958892959	0.0959960322539994
OG0002033	0.000734005051036515	0.000939362439362439	0.0007716979132319	0.170208384303159
OG0006285	0.000233210483210483	0.000938455235215261	0.000572995634502484	0.0107132104192633
OG0003256	0.000873700623700624	0.000925926648289731	0.00090055681634629	0.120498812284646
OG0010163	0.000827896674132093	0.000923079693368318	0.000862273814326053	0.160069035029742
OG0003139	0.000867010259388308	0.000909620693316345	0.000893824219959737	0.129093163272722
OG0004310	0.000351388888888889	0.000889163011695907	0.000601771598250471	0.147032117621584
OG0004828	0.000475604950604951	0.000886961099030065	0.000640444080705074	0.123543137254902
OG0009571	0.00077027027027027	0.000886072708653354	0.000823942208462332	0.152186274509804
OG0002623	0.000482558139534884	0.000883657495256167	0.000663650607128868	0.106328231292517
OG0006049	0.000158834586466165	0.00088109243697479	0.000489305685546007	0.060284550026368
OG0006032	6.90656565656566e-05	0.000879166666666667	0.000455167299796631	0.114233284565473
OG0009832	0.00076007161007161	0.000864092664092664	0.000796028293838325	0.167307476898806
OG0006342	0.00076953800504613	0.000864086007189455	0.000766587417505139	0.0729774300156653
OG0007520	0.000565456036884608	0.00085981240981241	0.000715946848871069	0.158837119715194
OG0005179	0.000492351824450711	0.000855363706075281	0.000660792149027443	0.107564954870837
OG0003093	0.000325445097538121	0.00085	0.000568448883666275	0.102514950367459
OG0002073	0	0.000848564659977703	0.000374558594070789	0.118945640036045
OG0005556	0.000326177698270721	0.00084749412168767	0.00055921052631579	0.0677433231913455
OG0006010	0.000610144927536232	0.000844715007215007	0.00071141392718275	0.107837682003494
OG0002450	0.000462701563892715	0.000843722943722944	0.00064662670188986	0.115376436781609
OG0002991	0.00102243896454423	0.000842487684729064	0.000948757120055964	0.167282584115576
OG0004413	0.000460122242098986	0.000841282894736842	0.000610742673528062	0.104228466386555
OG0009845	8.03571428571429e-05	0.000830623973727422	0.000386944845278179	0.0334159909929344
OG0007670	0.000517441860465116	0.000826587301587302	0.000662760862127951	0.103995311167945
OG0009345	0.000576190476190476	0.000825804375804376	0.000685966810966811	0.152453145873734
OG0007855	0.000614875603643254	0.000824722559097559	0.000721803596137374	0.0817687733630038
OG0001919	0.000326803631151457	0.000817211948790896	0.000555021401395054	0.0975086298349127
OG0001766	0.00023517316017316	0.000813598166539343	0.000499768874998742	0.0979346080582945
OG0002122	0.000164811738648948	0.000811936936936937	0.000467345945194046	0.0280646436312635
OG0000961	0.000480104673448327	0.000811502929075085	0.000631691919191919	0.0899950323967971
OG0003053	0.000677255639097744	0.000809808850226308	0.000739155600667735	0.10624878528661
OG0001559	0.000276515151515152	0.00080980595980596	0.000517372981956315	0.137812345103463
OG0000805	0.000467663043478261	0.000808554376657825	0.000621561181434599	0.147183616820222
OG0004729	0.000272285353535354	0.000807692307692308	0.000489879695323067	0.0335783493387572
OG0001076	0.000153819049167886	0.000807527966257106	0.000482745231105254	0.105745628315709
OG0008966	0.000427948717948718	0.000801152690700104	0.000572538752543002	0.102789404223228
OG0002783	5.77777777777778e-05	0.000800384024577573	0.000385248055497162	0.065350978380459
OG0005764	0.000435769656699889	0.000797222222222222	0.000589368964368964	0.109394335511983
OG0004897	0.000521268751589118	0.000794629329004329	0.000638625957932038	0.102099370485036
OG0007391	0.000775577366275041	0.000794048326401268	0.000752849927849928	0.114949931107177
OG0008180	0.000229296066252588	0.000788069259962049	0.000469178082191781	0.0558322173939999
OG0002190	0.000180555555555556	0.000782386072708653	0.000447565569299443	0.129065012838352
OG0001053	1.19047619047619e-05	0.000782100928145553	0.000344969158054955	0.0537586410591122
OG0001694	0.000538859852884243	0.000781160228219052	0.000672556782134247	0.0641065595742555
OG0003187	3.23051948051948e-05	0.000781146064301552	0.000366864732536374	0.109273846047743
OG0001786	6.59722222222222e-05	0.000780413105413105	0.000353406220182408	0.016899961678117
OG0000671	0.000191062095569935	0.000779044117647059	0.00042267706302794	0.0227200584422667
OG0000168	0.000725021270561543	0.000777279709537774	0.00075060121292998	0.124186928689186
OG0001066	0.00012001287001287	0.00077660472972973	0.000429687401834023	0.104831610662155
OG0004279	0.000325961684127114	0.000776542182576665	0.000516179958253129	0.0339956476590365
OG0006921	0.000814392614729212	0.00077534965034965	0.000800043270946002	0.132531449344012
OG0004354	0.000377939089895612	0.000775105042016807	0.000558212058212058	0.112001690905759
OG0008171	0.000938034188034188	0.00077495904995905	0.000858700449876921	0.163489095930599
OG0004211	0.00023444976076555	0.00077453007518797	0.00049171826625387	0.0602663246872046
OG0003422	0.000263452701416646	0.000773655913978495	0.000481566391100225	0.0788310884554491
OG0009679	0.0007076536643026	0.000772829509671615	0.000736518962422577	0.151312542258283
OG0009926	0.00024520202020202	0.000772770398481973	0.000473729262951941	0.0594633095662507
OG0009284	0.000363433667781494	0.000770538528603045	0.000547415678600207	0.147704456482199
OG0007476	0.000281928294573643	0.000770339184060721	0.000491050040077866	0.0731917902996846
OG0001934	0.00035756845253442	0.000767324561403509	0.000568811017014298	0.0859508020462346
OG0006226	0.000493393234672304	0.000766935483870968	0.00060306182895224	0.15029539980501
OG0005093	2.56410256410256e-05	0.00076624895572264	0.000388575284144904	0.0825564847888757
OG0005807	0.000286616161616162	0.000764285714285714	0.00050100642233612	0.0672512252238431
OG0001151	4.41176470588235e-05	0.000760076252723312	0.000347719449225473	0.0259747546052581
OG0001071	1.28205128205128e-05	0.000757501485442662	0.000360274599542334	0.0444171405568464
OG0008701	0.000639930752505199	0.000756823325788843	0.000685380116959064	0.115559376490923
OG0006336	0.000375598935226264	0.000755827505827506	0.000556423110222606	0.106966538789429
OG0000933	0.000494671994671995	0.000754557963536292	0.000612567219262184	0.110012764511745
OG0007911	1.04166666666667e-05	0.000754545454545455	0.000333690549091651	0.119370149854916
OG0004921	0.000379862700228833	0.000754141238012206	0.000543220878998773	0.105612745098039
OG0001096	2.22662048490846e-05	0.0007528067361668	0.000348554750023538	0.0584610809659463
OG0002108	0.000701669989744295	0.000747539302802461	0.000713835638380462	0.121637957593331
OG0010121	0.000201758744038156	0.000746484781368502	0.000458411654135338	0.140371209668188
OG0000305	0.000507507507507508	0.000742392823858341	0.000609544719891836	0.0605680657935075
OG0010214	0.000243710359408034	0.000741776315789474	0.000476012729424694	0.105345844934676
OG0009617	0.000231140102098695	0.000741279518444204	0.000465652768284347	0.0556857818169713
OG0008505	1.63763066202091e-05	0.000741166213651982	0.000349142512077295	0.0689964781892706
OG0001311	2.38095238095238e-05	0.000740740740740741	0.000346220027681143	0.142153076714557
OG0002959	3.65079365079365e-05	0.000729198089492207	0.000375494074507215	0.0142507904376325
OG0002428	4.41176470588235e-05	0.000724368092789145	0.000399162861491629	0.142863161453329
OG0000819	-2.69607843137255e-06	0.000724055751332791	0.00032982833913586	0.0492575740342343
OG0008897	0.000811931818181818	0.000723561526193105	0.000763390313390313	0.199145052351349
OG0000092	0.000316216216216216	0.000720982142857143	0.000512353228962818	0.0820661462650824
OG0001500	0.000100372286418798	0.0007190965003465	0.000395376204595997	0.0708096200006764
OG0010207	0.000785505234034646	0.000717283072546231	0.000717561284913606	0.121142907923766
OG0003211	0.000505357142857143	0.000713899613899614	0.000588201938906164	0.102715323166304
OG0007757	0.000574256205028701	0.000710060876268587	0.000599643825461783	0.10584079958566
